CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,C1,NA1,MG1,AL1,SI1,SI2,CA1,SC1,SC2,TI1,TI2,V1,CR1,CR2,MN1,FE1,FE2,CO1,NI1,CU1,ZN1,Y2,ZR1,BA2,LA2,CE2,ND2,EU2
11034945-7700101,Cha_I,165.95604166666385,-77.00280555555425,34.91708,3894.0,0.0,1.54,0.0,0.03,-40.3507,0.36789563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11213017-7616098,Cha_I,170.37570833333044,-76.26938888888762,96.05917,4846.0,31.0,2.6996627,0.026595052,0.011995934,-29.519446999999996,0.364695,,6.21,7.47,6.3999996,,,6.38,2.99,3.4,4.84,,4.05,5.6,5.53,,7.41,7.43,4.95,6.21,,,2.26,2.62,,0.97,1.75,,0.45999998
11112801-7749213,Cha_I,167.86670833333045,-77.82258333333203,85.691345,3902.0,0.0,1.59,0.0,-0.05,-27.27785,0.36545625,,,7.61,6.27,,,6.26,2.92,3.46,4.88,,4.05,5.54,5.88,,7.43,7.8,5.21,6.35,,,,2.29,,0.56,1.46,,0.28
11020524-7525093,Cha_I,165.52183333333056,-75.41924999999873,146.74833999999996,4502.0,0.0,2.21,0.0,-0.21,-26.2659,0.36469936,,6.33,7.54,6.58,,,6.62,3.34,3.48,5.37,,4.64,5.7,5.32,,7.45,7.32,5.16,6.34,,,1.96,,,1.04,1.72,,0.41000003
11140941-7714492,Cha_I,168.5392083333305,-77.24699999999868,178.23717,4396.0,0.0,1.89,0.0,-0.23,-24.2074,0.36482453,,6.21,7.42,6.48,,,6.4700003,3.18,3.3700001000000004,5.29,,4.48,5.59,5.2400002,,7.28,7.01,4.99,6.11,,,2.06,2.72,,0.82,1.45,,0.27
11065856-7713326,Cha_I,166.7439999999972,-77.22572222222091,74.21549,3815.0,0.0,1.43,0.0,0.02,-7.50105,0.36579436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11140585-7729058,Cha_I,168.5243749999972,-77.48494444444314,74.15167,3915.0,0.0,1.63,0.0,0.05,-2.2111,0.36584622,,,7.71,6.3399997,,,6.61,,3.45,4.76,,3.98,5.6,6.17,,7.5,7.91,5.28,6.38,,,1.83,2.03,,0.77,1.46,,0.24000001
11095119-7658568,Cha_I,167.46329166666385,-76.98244444444316,68.176834,5715.0,62.0,4.158345,0.05801278,0.42278716,35.8461,0.3650782,,6.72,7.88,6.85,7.93,,6.78,3.63,3.98,5.3,5.39,4.52,6.04,5.94,,7.9,7.91,5.47,6.76,,,2.56,,2.45,2.07,2.1799998,,
11060511-7511454,Cha_I,166.52129166666387,-75.19594444444317,182.3329,4922.0,17.0,2.517259,0.048234716,-0.48630992,79.1829,0.36439629999999995,,5.7599998,7.2999997,6.18,,,6.17,2.67,3.1200001,4.63,,3.6999998,5.05,5.09,,6.98,7.03,4.55,5.77,,,1.53,2.07,,0.42,1.0400001,,0.18
11010007-7738516,Cha_I,165.2502916666639,-77.64766666666536,76.47251,3934.0,0.0,1.62,0.0,-0.25,108.4083,0.3660837,,5.6299996,7.37,5.93,,,5.9700003,2.52,3.2800002,4.63,,3.74,4.93,5.4,,7.05,7.57,4.79,6.02,,,1.91,1.98,,0.5,1.0400001,,0.36
10554858-7651504,Cha_I,163.95241666666388,-76.8639999999987,104.00001,7564.0,0.0,4.07,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10555973-7724399,Cha_I,163.99887499999718,-77.41108333333203,9.796391499999999,4668.0,0.0,4.28,0.0,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11092378-7623207,Cha_I,167.3490833333305,-76.38908333333204,114.787094,4294.0,0.0,4.44,0.0,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
