CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,SI1,CA1,SC2,TI1,TI2,V1,CR1,FE1,FE2,CO1,NI1,Y2,BA2
16251282-2449168,Rho_Oph,246.30341666666249,-24.82133333333291,86.43521,5893.0,66.0,4.287075499999999,0.018268988,0.22539946,10.153251,0.36500686,6.45,7.77,7.75,6.7000003,3.74,5.06,5.2000003,4.25,5.87,7.72,7.77,5.18,6.54,2.42,2.22
16262750-2358416,Rho_Oph,246.6145833333292,-23.978222222221817,24.04295,6055.0,0.0,3.91,0.0,-0.49,12.8911,0.32197094,,,,,,,,,,,,,,1.51,1.87
17525221-2936575,Rup134,268.2175416666621,-29.615972222221718,66.41835999999999,5210.0,60.0,4.00304,0.11548306,-0.116548,-33.84335,0.3674522,,,,,,,,,,7.5299997,7.1899996,,,,
10440209-5937523,Trumpler14,161.0087083333306,-59.63119444444345,115.56,6137.0,0.0,3.92,0.0,-0.02,-24.292343,2.238644,,,,,,,,,,,,,,,
10440805-5933438,Trumpler14,161.03354166666398,-59.56216666666567,61.752525,6701.0,0.0,3.98,0.0,-0.16,-24.040298,0.43952042,,,,,,,,,,,,,,,
10443398-5933549,Trumpler14,161.1415833333306,-59.565249999999,56.3048,5883.0,0.0,3.8,0.0,0.07,-15.757863,5.4138209999999996,,,,,,,,,,,,,,,
10444087-5945247,Trumpler14,161.1702916666639,-59.75686111111008,151.4919,6095.0,53.0,4.2932653,0.118696444,0.055028792,-9.41735,0.3762739,6.18,7.4,7.46,6.46,3.22,4.92,4.83,3.9299998,5.63,7.51,7.47,5.3,6.1,2.06,2.1000001
10440629-5936066,Trumpler14,161.02620833333054,-59.60183333333232,77.6148,6866.0,500.0,4.2139916,0.2,0.0,-9.2722,0.40167812,,,,,,,,,,,,,,,
10452088-5940130,Trumpler14,161.33699999999732,-59.67027777777675,84.22331,6135.0,0.0,3.89,0.0,-0.05,-7.3359003,3.0,,,,,,,,,,,,,,,
10450610-5941121,Trumpler14,161.27541666666397,-59.686694444443425,87.795876,6292.0,0.0,3.82,0.0,-0.06,2.62225,0.40105686,,,,,,,,,,,,,,,
10452052-5933332,Trumpler14,161.33549999999732,-59.55922222222122,184.53252,6312.0,158.0,4.543116,0.3978219,0.015028815,4.4088497,0.4024664,6.18,7.5,7.24,6.28,3.21,4.9,4.9,4.72,5.57,7.44,7.42,,5.99,2.05,1.85
10435776-5933239,Trumpler14,160.9906666666639,-59.55663888888788,120.64803,6474.0,0.0,3.82,0.0,0.3,5.3549004,3.0187907000000003,,,,,,,,,,,,,,,
10454160-5938202,Trumpler14,161.42333333333062,-59.638944444443425,91.737976,5185.0,65.0,4.4541316,0.0843173,-0.0698849,9.656,0.39515558,6.23,7.7,7.41,6.55,3.3600001000000006,5.02,4.85,4.06,5.5,7.44,7.37,4.89,6.08,2.12,2.23
10434938-5944549,Trumpler14,160.95574999999732,-59.74858333333233,117.55335,5203.0,43.0,4.409173,0.17854647,-0.043591198,11.086101,0.38190994,6.15,7.68,7.35,6.51,3.3300002,4.98,4.84,4.1,5.56,7.46,7.53,4.71,6.12,2.28,2.23
10445706-5938269,Trumpler14,161.23774999999725,-59.64080555555454,169.52473,5103.0,34.0,4.375916999999999,0.07601838,-0.085182905,11.136700999999999,0.36588335,6.0,7.39,7.34,6.39,3.25,5.01,4.87,4.09,5.64,7.45,7.41,4.81,6.12,2.33,2.22
10450520-5940437,Trumpler14,161.27166666666392,-59.67880555555453,75.2417,5083.0,0.0,4.08,0.0,-0.14,26.033194,2.3244474,,,,,,,,,,,,,,,
10452652-5933577,Trumpler14,161.36054166666398,-59.566027777776746,18.11512,6201.0,0.0,3.93,0.0,-0.33,34.3954,0.40373102,,,,,,,,,,,,,,,
08095967-4726048,gamma2_Vel,122.49862499999792,-47.43466666666586,123.339355,5214.0,0.0,4.34,0.0,0.0,5.9931,3.0,,,,,,,,,,7.7032886,,,6.411599,,
08080053-4702145,gamma2_Vel,122.00220833333124,-47.03736111111032,162.69565,5717.0,4.0,4.499257599999999,0.010775914,-0.013747965,6.53795,0.36505824,6.0099998,7.42,7.37,6.48,3.3400002,4.9,4.9,4.01,5.63,7.47,7.45,4.75,6.15,2.17,2.38
08083759-4736060,gamma2_Vel,122.1566249999979,-47.60166666666586,165.44678000000005,5908.0,62.0,3.7051743999999998,0.07644913,-0.3575777,9.81755,0.36427805,5.81,7.25,7.16,6.1800003,2.97,4.55,4.58,3.647,5.26,7.12,7.1,4.69,5.86,1.56,1.76
08112313-4737105,gamma2_Vel,122.84637499999796,-47.61958333333253,121.42355,5047.0,15.0,4.454693,0.025962822000000003,0.037246034,10.79735,0.36584383,6.27,7.69,7.52,6.67,3.43,5.1,4.94,4.29,5.7,7.57,7.53,4.93,6.26,2.37,2.0900002
08090431-4741026,gamma2_Vel,122.26795833333124,-47.68405555555474,217.11948999999998,7570.0,0.0,4.07,0.0,-0.18,11.2691,3.0,,,,,,,,,,,,,,,
