CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,AL1,CA1,SC1,SC2,TI1,V1,CR1,CR2,FE1,FE2,CO1,NI1,Y2
12575308-6457182,NGC4815,194.4711666666633,-64.95505555555445,86.103615,5228.0,57.0,3.3452095999999996,0.1143952,-0.09999989999999999,-20.736698,0.36660156,,,,,3.1839999999999997,,,,,,7.37,7.39,,,
12574457-6459398,NGC4815,194.43570833333007,-64.99438888888781,81.85379,4766.0,58.0,3.1130822,0.11415901,0.18,-19.3349,0.36487309999999995,6.31,7.58,6.43,6.351,3.2739999999999996,3.43,4.91,4.147,5.67,5.6949997,7.47,7.56,5.09,6.35,2.3
15560789-5726360,NGC6005,239.03287499999598,-57.443333333332355,83.90369,4590.0,58.0,2.5696476,0.115339525,-0.0597395,-34.79445,0.36506918,6.07,7.58,6.41,6.231,3.0439999999999996,3.24,4.8,3.9870002,5.42,5.5649996,7.27,7.41,4.95,6.16,1.89
15553294-5725298,NGC6005,238.887249999996,-57.424944444443476,102.6088,4852.0,58.0,2.9243126,0.11389973,0.22,-33.03795,0.36466917,6.52,7.7,6.55,6.521,3.264,3.5,4.98,4.197,5.75,5.825,7.59,7.65,5.11,6.46,2.3
15555069-5726255,NGC6005,238.96120833332927,-57.44041666666569,144.91924,4802.0,64.0,2.8093011000000003,0.114334166,0.144541,-27.996048,0.36438522,6.5,7.64,6.52,6.501,3.214,3.44,4.94,4.2269998,5.67,5.7149997,7.57,7.62,5.06,6.45,2.23
15554127-5726574,NGC6005,238.9219583333293,-57.44927777777682,112.16088,4974.0,57.0,3.0446157000000005,0.11291651,0.21,-26.321049,0.36456248,6.59,7.69,6.53,6.591,3.384,3.5,5.07,4.3269997,5.79,5.745,7.62,7.64,5.15,6.46,2.33
15552962-5724408,NGC6005,238.8734166666626,-57.41133333333239,81.30444,4928.0,58.0,3.0398061000000003,0.11564867,0.19,-25.040748999999998,0.36502564,6.53,7.61,6.51,6.5310000000000015,3.3339999,3.39,4.97,4.2269998,5.74,5.745,7.57,7.65,5.07,6.39,2.27
15554015-5726002,NGC6005,238.91729166666263,-57.433388888887904,109.68697,4894.0,58.0,2.8959136,0.11373319,0.2,-24.82165,0.3646503,6.6,7.7,6.59,6.5310000000000015,3.3739999999999997,3.46,5.05,4.337,5.77,5.765,7.6,7.6,5.17,6.45,2.31
15560208-5727418,NGC6005,239.0086666666625,-57.46161111111015,104.16268000000001,4861.0,57.0,2.9636624,0.11437468,0.18,-24.73605,0.36472264,6.54,7.68,6.53,6.5310000000000015,3.2739999999999996,3.45,4.94,4.187,5.71,5.805,7.57,7.65,5.07,6.44,2.28
15555612-5726539,NGC6005,238.98383333332927,-57.44830555555459,108.54368600000001,4924.0,57.0,3.0408316,0.11405945,0.193002,-23.7379,0.36459142,6.55,7.71,6.56,6.6110000000000015,3.3339999,3.47,5.03,4.297,5.77,5.8149996,7.61,7.68,5.12,6.47,2.32
15554167-5725533,NGC6005,238.92362499999604,-57.43147222222127,118.99403999999998,4889.0,57.0,2.9456124,0.11365214,0.20199999999999999,-23.71,0.3645016,6.54,7.69,6.53,6.561,3.2739999999999996,3.47,4.99,4.237,5.73,5.785,7.59,7.66,5.11,6.46,2.29
15553687-5729569,NGC6005,238.903624999996,-57.49913888888792,84.38209,4946.0,58.0,3.150576,0.11430706,0.21,-23.531448,0.36499256,6.52,7.68,6.55,6.5710000000000015,3.404,3.48,5.05,4.3269997,5.78,5.745,7.59,7.66,5.15,6.44,2.36
15560707-5722408,NGC6005,239.0294583333293,-57.377999999999034,92.25706,4957.0,57.0,3.1562740000000002,0.11424941,0.2,-23.012999,0.36484492,6.51,7.66,6.58,6.551,3.3939999999999997,3.51,5.06,4.3269997,5.79,5.7949996,7.61,7.67,5.15,6.46,2.35
15555162-5724181,NGC6005,238.9650833333293,-57.40502777777682,112.11373999999999,4890.0,58.0,2.9935169999999998,0.113619804,0.24,-22.903748,0.36462754,6.56,7.71,6.58,6.581,3.3339999,3.55,5.04,4.297,5.78,5.845,7.64,7.71,5.17,6.52,2.36
15560582-5726193,NGC6005,239.024249999996,-57.43869444444349,104.84711,4864.0,58.0,2.9943869999999997,0.11301754,0.153,-22.834549,0.36467597,6.47,7.62,6.49,6.471,3.234,3.43,4.91,4.137,5.68,5.7549996,7.53,7.65,5.03,6.4,2.24
15554609-5723481,NGC6005,238.94204166666265,-57.39669444444346,94.264626,4835.0,58.0,2.8127223999999997,0.11370688,0.17600000000000002,-22.812248,0.36475949999999996,6.5,7.66,6.52,6.541,3.2739999999999996,3.43,4.93,4.167,5.71,5.6949997,7.55,7.64,5.05,6.42,2.22
15555171-5725390,NGC6005,238.96545833332925,-57.427499999999036,139.73016,4905.0,57.0,2.8855016,0.113206245,0.16,-21.369,0.36441436,6.53,7.65,6.55,6.541,3.2939999999999996,3.44,4.98,4.237,5.71,5.785,7.57,7.62,5.09,6.43,2.24
